[2019-07-22 10:44:10] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-469764352]
[2019-07-22 10:44:10] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-478157056]
[2019-07-22 10:47:11] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 10:47:11] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 10:47:11] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-2097162496]
[2019-07-22 10:47:11] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-2105555200]
[2019-07-22 10:48:01] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 10:48:02] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 10:48:02] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1644234496]
[2019-07-22 10:48:02] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1635841792]
[2019-07-22 10:48:27] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 10:48:27] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 10:48:27] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1957701888]
[2019-07-22 10:48:27] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1966094592]
[2019-07-22 10:49:30] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 10:49:31] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 10:49:31] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[452974336]
[2019-07-22 10:49:31] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[444581632]
[2019-07-22 10:49:53] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 10:49:53] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 10:49:53] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-102480128]
[2019-07-22 10:49:53] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-110872832]
[2019-07-22 10:52:02] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 10:52:02] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 10:52:02] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[922736384]
[2019-07-22 10:52:02] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[914343680]
[2019-07-22 10:53:36] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 10:53:36] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 10:53:36] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1937762048]
[2019-07-22 10:53:36] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1929369344]
[2019-07-22 10:55:46] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 10:55:46] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 10:55:46] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-2071230720]
[2019-07-22 10:55:46] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[2013263616]
[2019-07-22 11:20:55] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 11:20:55] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 11:20:55] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1048373504]
[2019-07-22 11:20:55] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1056766208]
[2019-07-22 11:31:10] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 11:31:11] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 11:31:11] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1786758912]
[2019-07-22 11:31:11] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1778366208]
[2019-07-22 11:33:02] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 11:33:02] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 11:33:02] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1753225472]
[2019-07-22 11:33:02] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1761618176]
[2019-07-22 11:33:37] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 11:33:37] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 11:33:37] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1669326592]
[2019-07-22 11:33:37] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1660933888]
[2019-07-22 11:34:10] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 11:34:10] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 11:34:11] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-772331776]
[2019-07-22 11:34:11] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-780724480]
[2019-07-22 11:34:49] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 11:34:50] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 11:34:50] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[662693632]
[2019-07-22 11:34:50] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[671086336]
[2019-07-22 11:35:36] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 11:35:36] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 11:35:36] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1275070720]
[2019-07-22 11:35:36] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1283463424]
[2019-07-22 11:37:14] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 11:37:14] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 11:37:14] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1688016640]
[2019-07-22 11:37:14] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1476392704]
[2019-07-22 11:37:36] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 11:37:37] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 11:37:37] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[662693632]
[2019-07-22 11:37:37] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[654300928]
[2019-07-22 14:21:38] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 14:21:39] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 14:21:39] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[486180608]
[2019-07-22 14:21:39] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[268433152]
[2019-07-22 14:22:06] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2019-07-22 14:22:07] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [252048]
[2019-07-22 14:22:07] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1236231936]
